instant_x,dteday,season_x,yr_x,mnth_x,weekday_x,workingday_x,weathersit_x,temp_x,atemp_x,hum_x,windspeed_x,casual_x,registered_x,Total_x,instant_y,season_y,yr_y,mnth_y,hr,weekday_y,workingday_y,weathersit_y,temp_y,atemp_y,hum_y,windspeed_y,casual_y,registered_y,Total_y
1,2011-01-01,Spring,2011,January,Saturday,Weekend,"Mist and
 Cloudy or Mist ",14.1,18.2,80.6,10.7,331,654,985,16,Spring,2011,January,03 PM,Saturday,Weekend,"Mist and
 Cloudy or Mist ",18.0,22.0,77.0,20.0,40,70,110
2,2011-01-02,Spring,2011,January,Sunday,Weekend,"Mist and
 Cloudy or Mist ",14.9,17.7,69.6,16.7,131,670,801,36,Spring,2011,January,12 PM,Sunday,Weekend,"Mist and
 Cloudy or Mist ",14.8,16.7,66.0,20.0,20,73,93
3,2011-01-03,Spring,2011,January,Monday,Working day,"Clear or
 Partly cloudy",8.1,9.5,43.7,16.6,120,1229,1349,63,Spring,2011,January,05 PM,Monday,Working day,"Clear or
 Partly cloudy",9.8,11.4,30.0,15.0,11,146,157
4,2011-01-04,Spring,2011,January,Tuesday,Working day,"Clear or
 Partly cloudy",8.2,10.6,59.0,10.7,108,1454,1562,86,Spring,2011,January,05 PM,Tuesday,Working day,"Clear or
 Partly cloudy",11.5,13.6,48.0,15.0,10,202,212
5,2011-01-05,Spring,2011,January,Wednesday,Working day,"Clear or
 Partly cloudy",9.3,11.5,43.7,12.5,82,1518,1600,100,Spring,2011,January,08 AM,Wednesday,Working day,"Clear or
 Partly cloudy",8.2,9.1,40.0,20.0,3,192,195
6,2011-01-06,Spring,2011,January,Thursday,Working day,"Clear or
 Partly cloudy",8.4,11.7,51.8,6.0,88,1518,1606,123,Spring,2011,January,08 AM,Thursday,Working day,"Clear or
 Partly cloudy",6.6,11.4,59.0,0.0,3,216,219
7,2011-01-07,Spring,2011,January,Friday,Working day,"Mist and
 Cloudy or Mist ",8.1,10.4,49.9,11.3,148,1362,1510,146,Spring,2011,January,08 AM,Friday,Working day,"Clear or
 Partly cloudy",8.2,9.8,51.0,17.0,20,190,210
8,2011-01-08,Spring,2011,January,Saturday,Weekend,"Mist and
 Cloudy or Mist ",6.8,8.1,53.6,17.9,68,891,959,175,Spring,2011,January,01 PM,Saturday,Weekend,"Clear or
 Partly cloudy",8.2,9.1,44.0,22.0,7,95,102
9,2011-01-09,Spring,2011,January,Sunday,Weekend,"Clear or
 Partly cloudy",5.7,5.8,43.4,24.3,54,768,822,202,Spring,2011,January,04 PM,Sunday,Weekend,"Clear or
 Partly cloudy",8.2,8.3,34.0,30.0,13,79,92
10,2011-01-10,Spring,2011,January,Monday,Working day,"Clear or
 Partly cloudy",6.2,7.5,48.3,15.0,41,1280,1321,218,Spring,2011,January,08 AM,Monday,Working day,"Mist and
 Cloudy or Mist ",4.9,6.1,50.0,19.0,4,184,188
11,2011-01-11,Spring,2011,January,Tuesday,Working day,"Mist and
 Cloudy or Mist ",6.9,9.6,68.6,8.2,43,1220,1263,240,Spring,2011,January,08 AM,Tuesday,Working day,"Mist and
 Cloudy or Mist ",7.4,10.6,51.0,6.0,3,214,217
12,2011-01-12,Spring,2011,January,Wednesday,Working day,"Clear or
 Partly cloudy",7.1,8.0,60.0,20.4,25,1137,1162,271,Spring,2011,January,05 PM,Wednesday,Working day,"Clear or
 Partly cloudy",8.2,9.1,47.0,24.0,0,139,139
13,2011-01-13,Spring,2011,January,Thursday,Working day,"Clear or
 Partly cloudy",6.8,7.5,47.0,20.2,38,1368,1406,286,Spring,2011,January,08 AM,Thursday,Working day,"Clear or
 Partly cloudy",5.7,6.8,50.0,13.0,5,197,202
14,2011-01-14,Spring,2011,January,Friday,Working day,"Clear or
 Partly cloudy",6.6,9.4,53.8,8.5,54,1367,1421,318,Spring,2011,January,05 PM,Friday,Working day,"Clear or
 Partly cloudy",9.0,11.4,41.0,11.0,4,155,159
15,2011-01-15,Spring,2011,January,Saturday,Weekend,"Mist and
 Cloudy or Mist ",9.6,12.4,49.9,10.6,222,1026,1248,340,Spring,2011,January,03 PM,Saturday,Weekend,"Mist and
 Cloudy or Mist ",13.1,15.9,36.0,13.0,21,108,129
16,2011-01-16,Spring,2011,January,Sunday,Weekend,"Clear or
 Partly cloudy",9.5,11.7,48.4,12.6,251,953,1204,362,Spring,2011,January,01 PM,Sunday,Weekend,"Clear or
 Partly cloudy",10.7,11.4,35.0,20.0,23,95,118
17,2011-01-17,Spring,2011,January,Monday,Holiday,"Mist and
 Cloudy or Mist ",7.2,8.8,53.8,13.0,117,883,1000,386,Spring,2011,January,01 PM,Monday,Holiday,"Mist and
 Cloudy or Mist ",7.4,9.8,47.0,9.0,13,80,93
18,2011-01-18,Spring,2011,January,Tuesday,Working day,"Mist and
 Cloudy or Mist ",8.9,11.6,86.2,9.8,9,674,683,403,Spring,2011,January,06 PM,Tuesday,Working day,"Mist and
 Cloudy or Mist ",9.0,11.4,80.0,11.0,1,132,133
19,2011-01-19,Spring,2011,January,Wednesday,Working day,"Mist and
 Cloudy or Mist ",12.0,14.9,74.2,14.0,78,1572,1650,416,Spring,2011,January,08 AM,Wednesday,Working day,"Mist and
 Cloudy or Mist ",9.8,12.9,93.0,7.0,1,196,197
